sample_id,total_reads,nonhost_reads,life_stage,total_ercc_reads
TICK001_011,150000000,760290,male,10683444
TICK001_020,150000000,664020,male,120243382
TICK001_021,150000000,1404318,male,29900820
TICK001_023,150000000,255284,male,132125102
TICK001_038,150000000,275492,male,128643330
TICK001_064,150000000,518446,female,134979326
TICK001_077,150000000,574398,female,24912690
TICK001_078,150000000,586574,female,16366372
TICK001_027,150000000,4140356,male,1704228
TICK001_028,150000000,4660736,male,2454022
TICK001_036,150000000,2692086,male,1754960
TICK001_054,150000000,12603780,female,2277708
TICK001_072,150000000,2909970,female,508574
TICK001_073,150000000,2833122,female,1069112
TICK001_074,150000000,2810098,female,606916
TICK001_085,150000000,3110274,female,1633858
TICK001_086,150000000,3228102,female,731662
TICK001_088,150000000,3927528,female,711324
TICK001_090,150000000,3254246,female,802350
TICK001_092,150000000,4723928,female,3303940
TICK001_067,149480122,2219814,female,785032
TICK001_068,142118476,3195348,female,646380
TICK001_058,140805234,2721332,female,379974
TICK001_081,136176954,4065758,female,1982034
TICK001_022,133841808,4378680,male,3768406
TICK001_037,130417426,5349804,male,2839168
TICK001_084,127916416,2607732,female,942316
TICK001_079,124072898,1845364,female,215932
TICK001_032,123742668,7254361,male,2207874
TICK001_016,121762792,2603942,male,1387552
TICK002_004,119315016,468054,nymph,549524
TICK001_059,118509394,3728394,female,2970462
TICK001_007,117774872,701946,male,85871338
TICK001_012,116529628,2247432,male,1537556
TICK001_091,116515894,762406,female,92776612
TICK001_025,114716006,3508468,male,2828144
TICK001_031,114504372,4189130,male,2854278
TICK001_076,113060726,3691590,female,1145872
TICK001_063,111337016,2105262,female,408772
TICK001_026,109504458,2562328,male,1424358
TICK001_083,107614400,3638052,female,6090358
TICK001_035,106939520,3607312,male,2469024
TICK001_075,106145994,3784204,female,3920734
TICK002_007,103287830,279056,nymph,325074
TICK001_069,103026728,2437866,female,311374
TICK001_057,98600564,3153508,female,1607380
TICK002_020,97030374,328680,nymph,345562
TICK002_002,94527334,403918,nymph,190840
TICK002_011,91029848,401222,nymph,279402
TICK001_056,90128800,1426778,female,320854
TICK002_019,86776140,379926,nymph,189502
TICK001_061,86683896,2805036,female,4271552
TICK001_065,85013914,2738232,female,2791942
TICK001_062,84497116,2389456,female,3105848
TICK002_003,84022078,177922,nymph,777546
TICK001_030,76354914,2374092,male,2160344
TICK001_033,76218786,2476894,male,2567100
TICK001_029,73126380,6734280,male,2964158
TICK002_008,71159482,257806,nymph,716890
TICK001_018,69266264,4616016,male,2054772
TICK001_015,66932946,1693370,male,1546640
TICK001_013,60276318,556678,male,37145276
TICK002_021,59713880,201444,nymph,48350
TICK002_005,45890976,187888,nymph,377012
TICK002_016,41501216,196448,nymph,164232
TICK001_089,40733022,332620,female,5301170
TICK001_087,36788532,289958,female,11949288
TICK001_051,32899848,270718,female,9453244
TICK002_009,32227452,91426,nymph,189054
TICK002_018,32186600,136648,nymph,145666
TICK002_015,29490398,176158,nymph,92168
TICK002_012,29463726,148492,nymph,168224
TICK002_017,28370238,96852,nymph,159018
TICK001_044,23724210,279122,male,582206
TICK001_024,22723570,491836,male,2024422
TICK001_060,22635704,164612,female,213952
TICK001_041,22253470,289506,male,2171098
TICK001_080,21953542,171162,female,640478
TICK002_001,21529664,96000,nymph,268490
TICK001_053,19664920,201976,female,969418
TICK001_019,18172248,170126,male,265382
TICK001_082,17302944,156238,male,692094
TICK001_034,17218490,154888,male,472936
TICK001_071,17135702,139200,female,92434
TICK001_066,16490370,150192,female,327776
TICK001_052,15759996,145480,female,2260174
TICK001_008,15334974,297540,male,425442
TICK001_043,15211078,102546,male,496166
TICK001_005,14543614,157846,male,370016
TICK001_049,14078760,118692,female,780478
TICK001_070,14021170,116328,female,70134
TICK001_010,13758422,252252,male,823738
TICK001_055,13533892,207106,female,683936
TICK001_050,12587816,280868,female,1233470
TICK001_093,12330246,105226,female,239906
TICK001_014,12048130,141526,male,286060
TICK001_042,11572302,130068,male,331310
TICK001_009,10306066,82420,male,197314
TICK001_039,10074602,88244,male,208592
TICK001_040,9235194,111532,male,223664
TICK002_Hela1,11497100,4862,control,6324
TICK002_Hela3,4714080,2098,control,2298
TICK002_water1,959000,5234,control,398138
TICK001_water03,6880988,32126,control,6453756
TICK001_water04,9479210,50760,control,8863246
TICK001_water05,8349502,37870,control,7934784
TICK001_water06,9722652,71840,control,9243768
TICK001_water07,91980,432,control,86904
TICK002_Hela1,11497100,4862,control,6324
TICK002_Hela3,4714080,2098,control,2298
TICK002_water1,959000,5234,control,398138
