cluster,length,contig_id,per_identity,rep
Cluster 0,21973,t1_NODE_1_length_21973_cov_22.204216,100.00,True
Cluster 1,9414,t1_NODE_2_length_9414_cov_143.097874,96.88,False
Cluster 1,1413,t1_NODE_107_length_1413_cov_2.960972,99.15,False
Cluster 1,9160,t1_NODE_2_length_9160_cov_1286.744097,99.54,False
Cluster 1,18559,t1_NODE_1_length_18559_cov_403.900562,100.00,True
Cluster 1,9329,t1_NODE_1_length_9329_cov_59.018762,98.27,False
Cluster 1,9390,t1_NODE_1_length_9390_cov_84.786824,99.06,False
Cluster 1,9298,t1_NODE_2_length_9298_cov_53.109488,99.13,False
Cluster 2,1449,t1_NODE_101_length_1449_cov_5.616212,98.69,False
Cluster 2,1035,t1_NODE_353_length_1035_cov_3.140816,99.81,False
Cluster 2,1870,t1_NODE_20_length_1870_cov_3.393388,99.79,False
Cluster 2,1537,t1_NODE_39_length_1537_cov_3.151147,99.80,False
Cluster 2,1212,t1_NODE_81_length_1212_cov_2.292135,99.59,False
Cluster 2,1166,t1_NODE_89_length_1166_cov_2.301530,99.74,False
Cluster 2,1168,t1_NODE_372_length_1168_cov_3.336029,99.23,False
Cluster 2,2929,t1_NODE_3_length_2929_cov_2.882742,99.39,False
Cluster 2,1021,t1_NODE_142_length_1021_cov_3.226708,99.80,False
Cluster 2,5229,t1_NODE_4_length_5229_cov_5.463858,99.52,False
Cluster 2,2242,t1_NODE_35_length_2242_cov_3.631916,96.88,False
Cluster 2,1999,t1_NODE_52_length_1999_cov_3.809156,99.55,False
Cluster 2,1520,t1_NODE_150_length_1520_cov_4.326280,99.47,False
Cluster 2,12437,t1_NODE_1_length_12437_cov_14.973187,98.45,False
Cluster 2,2648,t1_NODE_31_length_2648_cov_8.963363,91.24,False
Cluster 2,6996,t1_NODE_2_length_6996_cov_7.370264,98.04,False
Cluster 2,2199,t1_NODE_99_length_2199_cov_5.461754,96.27,False
Cluster 2,2178,t1_NODE_104_length_2178_cov_3.954781,98.90,False
Cluster 2,8327,t1_NODE_3_length_8327_cov_5.912476,98.82,False
Cluster 2,2053,t1_NODE_36_length_2053_cov_4.035035,99.71,False
Cluster 2,4948,t1_NODE_5_length_4948_cov_6.376252,99.66,False
Cluster 2,2335,t1_NODE_28_length_2335_cov_2.764912,99.79,False
Cluster 2,2235,t1_NODE_32_length_2235_cov_4.004128,99.69,False
Cluster 2,1699,t1_NODE_72_length_1699_cov_2.966545,99.59,False
Cluster 2,1333,t1_NODE_142_length_1333_cov_4.104069,99.92,False
Cluster 2,11743,t1_NODE_1_length_11743_cov_24.575633,99.73,False
Cluster 2,3748,t1_NODE_42_length_3748_cov_11.379637,87.62,False
Cluster 2,6018,t1_NODE_4_length_6018_cov_5.440047,98.24,False
Cluster 2,2684,t1_NODE_28_length_2684_cov_4.186383,90.01,False
Cluster 2,11311,t1_NODE_1_length_11311_cov_7.755775,99.25,False
Cluster 2,2418,t1_NODE_43_length_2418_cov_5.085061,94.79,False
Cluster 2,5719,t1_NODE_5_length_5719_cov_5.059322,99.60,False
Cluster 2,4504,t1_NODE_8_length_4504_cov_7.354911,98.07,False
Cluster 2,1962,t1_NODE_168_length_1962_cov_5.657053,99.44,False
Cluster 2,1459,t1_NODE_457_length_1459_cov_3.358262,99.04,False
Cluster 2,12927,t1_NODE_2_length_12927_cov_16.820152,85.36,False
